#i E KE PE T P
1.751591 -4.312859 1.659698 -5.972557 120.000000 0.024410
1.769464 -4.318077 1.659698 -5.977776 120.000000 0.024675
1.787338 -4.325411 1.659698 -5.985109 120.000000 0.024928
1.805211 -4.331991 1.659698 -5.991689 120.000000 0.025168
1.823085 -4.334821 1.659698 -5.994519 120.000000 0.025399
1.840958 -4.333382 1.659698 -5.993080 120.000000 0.025626
1.858831 -4.329940 1.659698 -5.989638 120.000000 0.025850
1.876705 -4.327512 1.659698 -5.987210 120.000000 0.026068
1.894578 -4.328809 1.659698 -5.988507 120.000000 0.026275
1.912451 -4.334462 1.659698 -5.994160 120.000000 0.026465
1.930325 -4.340838 1.659698 -6.000536 120.000000 0.026638
1.948198 -4.341038 1.659698 -6.000736 120.000000 0.026803
1.966072 -4.327534 1.659698 -5.987233 120.000000 0.026976
1.983945 -4.298797 1.659698 -5.958496 120.000000 0.027176
2.001818 -4.268976 1.659698 -5.928674 120.000000 0.027403
2.019692 -4.261363 1.659698 -5.921062 120.000000 0.027631
2.037565 -4.281910 1.659698 -5.941609 120.000000 0.027828
2.055438 -4.315418 1.659698 -5.975117 120.000000 0.027979
2.073312 -4.344307 1.659698 -6.004005 120.000000 0.028093
2.091185 -4.355114 1.659698 -6.014813 120.000000 0.028196
2.109059 -4.339198 1.659698 -5.998897 120.000000 0.028320
2.126932 -4.298267 1.659698 -5.957966 120.000000 0.028496
2.144805 -4.248140 1.659698 -5.907838 120.000000 0.028736
2.162679 -4.209389 1.659698 -5.869088 120.000000 0.029025
2.180552 -4.191225 1.659698 -5.850924 120.000000 0.029340
2.198425 -4.189646 1.659698 -5.849344 120.000000 0.029661
2.216299 -4.198745 1.659698 -5.858443 120.000000 0.029974
2.234172 -4.216083 1.659698 -5.875782 120.000000 0.030267
2.252046 -4.240750 1.659698 -5.900448 120.000000 0.030532
2.269919 -4.271067 1.659698 -5.930765 120.000000 0.030759
2.287792 -4.301678 1.659698 -5.961376 120.000000 0.030949
2.305666 -4.325275 1.659698 -5.984973 120.000000 0.031106
2.323539 -4.338362 1.659698 -5.998061 120.000000 0.031242
2.341412 -4.344906 1.659698 -6.004604 120.000000 0.031361
2.359286 -4.355542 1.659698 -6.015241 120.000000 0.031461
2.377159 -4.375762 1.659698 -6.035461 120.000000 0.031531
2.395033 -4.398002 1.659698 -6.057700 120.000000 0.031570
2.412906 -4.413805 1.659698 -6.073503 120.000000 0.031588
2.430779 -4.420824 1.659698 -6.080522 120.000000 0.031594
2.448653 -4.418526 1.659698 -6.078225 120.000000 0.031601
2.466526 -4.406322 1.659698 -6.066020 120.000000 0.031621
2.484399 -4.385231 1.659698 -6.044930 120.000000 0.031666
2.502273 -4.358691 1.659698 -6.018389 120.000000 0.031742
2.520146 -4.330962 1.659698 -5.990660 120.000000 0.031851
2.538020 -4.304803 1.659698 -5.964502 120.000000 0.031991
2.555893 -4.281521 1.659698 -5.941220 120.000000 0.032156
2.573766 -4.263870 1.659698 -5.923568 120.000000 0.032340
2.591640 -4.256099 1.659698 -5.915798 120.000000 0.032531
2.609513 -4.259413 1.659698 -5.919112 120.000000 0.032717
2.627387 -4.269191 1.659698 -5.928890 120.000000 0.032891
2.645260 -4.277673 1.659698 -5.937371 120.000000 0.033055
2.663133 -4.278688 1.659698 -5.938387 120.000000 0.033216
2.681007 -4.270840 1.659698 -5.930538 120.000000 0.033384
2.698880 -4.257731 1.659698 -5.917430 120.000000 0.033563
2.716753 -4.244969 1.659698 -5.904668 120.000000 0.033754
2.734627 -4.237209 1.659698 -5.896908 120.000000 0.033954
2.752500 -4.234767 1.659698 -5.894466 120.000000 0.034158
2.770374 -4.233862 1.659698 -5.893561 120.000000 0.034365
2.788247 -4.238184 1.659698 -5.897882 120.000000 0.034571
2.806120 -4.254732 1.659698 -5.914431 120.000000 0.034764
2.823994 -4.271625 1.659698 -5.931324 120.000000 0.034947
2.841867 -4.270923 1.659698 -5.930622 120.000000 0.035134
2.859740 -4.253732 1.659698 -5.913430 120.000000 0.035340
2.877614 -4.234986 1.659698 -5.894685 120.000000 0.035564
2.895487 -4.227126 1.659698 -5.886825 120.000000 0.035798
2.913361 -4.231028 1.659698 -5.890726 120.000000 0.036029
2.931234 -4.241023 1.659698 -5.900722 120.000000 0.036250
2.949107 -4.255027 1.659698 -5.914725 120.000000 0.036454
2.966981 -4.275361 1.659698 -5.935059 120.000000 0.036636
2.984854 -4.302778 1.659698 -5.962476 120.000000 0.036787
3.002727 -4.333733 1.659698 -5.993432 120.000000 0.036906
3.020601 -4.362721 1.659698 -6.022420 120.000000 0.036993
3.038474 -4.384849 1.659698 -6.044547 120.000000 0.037057
