#i E KE PE T dT P Cv R2
1.197516 -0.038706 0.015897 -0.054603 121.926203 0.001520 0.064149 214.918473 0.045564
1.215390 -0.038704 0.015786 -0.054490 121.945615 0.001499 0.064101 213.962849 0.046508
1.233263 -0.038711 0.015695 -0.054406 121.954299 0.001478 0.064087 212.993212 0.047446
1.251136 -0.038720 0.015536 -0.054255 121.945288 0.001458 0.064118 212.079964 0.048378
1.269010 -0.038719 0.015208 -0.053926 121.900942 0.001448 0.064220 211.639981 0.049305
1.286883 -0.038705 0.014739 -0.053445 121.807689 0.001472 0.064413 212.745532 0.050228
1.304757 -0.038688 0.014328 -0.053016 121.673558 0.001544 0.064679 216.055922 0.051151
1.322630 -0.038680 0.014225 -0.052905 121.532303 0.001627 0.064952 219.997215 0.052073
1.340503 -0.038690 0.014534 -0.053223 121.426448 0.001666 0.065154 221.870903 0.052997
1.358377 -0.038705 0.015121 -0.053826 121.382935 0.001655 0.065235 221.346042 0.053922
1.376250 -0.038713 0.015763 -0.054477 121.404827 0.001636 0.065188 220.404293 0.054849
1.394123 -0.038716 0.016303 -0.055018 121.479458 0.001642 0.065037 220.732725 0.055778
1.411997 -0.038715 0.016676 -0.055391 121.588636 0.001683 0.064814 222.711565 0.056711
1.429870 -0.038715 0.016872 -0.055587 121.714029 0.001743 0.064555 225.764163 0.057647
1.447744 -0.038716 0.016893 -0.055609 121.838401 0.001803 0.064295 228.844836 0.058588
1.465617 -0.038716 0.016743 -0.055458 121.945606 0.001842 0.064065 230.880094 0.059535
1.483490 -0.038713 0.016442 -0.055155 122.022285 0.001850 0.063892 231.337612 0.060486
1.501364 -0.038706 0.016063 -0.054768 122.062353 0.001836 0.063789 230.595295 0.061442
1.519237 -0.038696 0.015743 -0.054439 122.072487 0.001815 0.063746 229.480481 0.062399
1.537110 -0.038688 0.015653 -0.054341 122.074254 0.001794 0.063727 228.385220 0.063355
1.554984 -0.038695 0.015889 -0.054584 122.096947 0.001776 0.063680 227.447937 0.064309
1.572857 -0.038714 0.016339 -0.055053 122.158623 0.001777 0.063574 227.484240 0.065259
1.590731 -0.038726 0.016736 -0.055461 122.253329 0.001808 0.063419 229.096952 0.066203
1.608604 -0.038731 0.016869 -0.055600 122.357386 0.001850 0.063255 231.332665 0.067141
1.626477 -0.038732 0.016645 -0.055377 122.440155 0.001869 0.063131 232.354031 0.068073
1.644351 -0.038723 0.016075 -0.054799 122.473339 0.001855 0.063096 231.582136 0.069000
1.662224 -0.038700 0.015341 -0.054042 122.444838 0.001841 0.063166 230.842375 0.069921
