#t E KE PE
2.591640 -5.600937 0.918460 -6.519397
2.609513 -5.600821 0.923630 -6.524451
2.627387 -5.600729 0.930213 -6.530942
2.645260 -5.600764 0.939161 -6.539924
2.663133 -5.600904 0.949805 -6.550709
2.681007 -5.601039 0.960087 -6.561126
2.698880 -5.601074 0.968042 -6.569116
2.716753 -5.601023 0.972916 -6.573939
2.734627 -5.600993 0.975013 -6.576006
2.752500 -5.601053 0.974563 -6.575615
2.770374 -5.601194 0.970693 -6.571887
2.788247 -5.601316 0.961561 -6.562877
2.806120 -5.601299 0.945792 -6.547091
2.823994 -5.601110 0.924005 -6.525116
2.841867 -5.600855 0.899040 -6.499895
2.859740 -5.600618 0.874927 -6.475545
2.877614 -5.600462 0.855424 -6.455886
2.895487 -5.600408 0.843053 -6.443461
2.913361 -5.600448 0.838786 -6.439235
2.931234 -5.600567 0.842038 -6.442605
2.949107 -5.600732 0.850890 -6.451622
2.966981 -5.600885 0.862691 -6.463576
2.984854 -5.600991 0.874915 -6.475906
3.002727 -5.601035 0.885741 -6.486776
3.020601 -5.601028 0.894304 -6.495332
3.038474 -5.600991 0.900663 -6.501654
3.056348 -5.600969 0.905392 -6.506362
3.074221 -5.600973 0.909001 -6.509974
3.092094 -5.600986 0.911606 -6.512592
3.109968 -5.600966 0.913194 -6.514160
3.127841 -5.600869 0.914175 -6.515044
3.145714 -5.600751 0.915641 -6.516392
3.163588 -5.600682 0.919001 -6.519683
3.181461 -5.600708 0.924927 -6.525636
3.199335 -5.600863 0.932376 -6.533239
3.217208 -5.601044 0.938772 -6.539817
3.235081 -5.601147 0.941225 -6.542372
3.252955 -5.601147 0.937896 -6.539043
3.270828 -5.601030 0.928778 -6.529808
3.288701 -5.600855 0.915553 -6.516407
3.306575 -5.600707 0.900763 -6.501470
3.324448 -5.600621 0.886803 -6.487424
3.342322 -5.600627 0.875098 -6.475724
3.360195 -5.600676 0.865941 -6.466617
3.378068 -5.600703 0.859034 -6.459737
3.395942 -5.600663 0.854325 -6.454987
3.413815 -5.600594 0.852525 -6.453119
3.431688 -5.600566 0.854649 -6.455215
3.449562 -5.600633 0.860895 -6.461528
3.467435 -5.600747 0.870120 -6.470866
3.485309 -5.600830 0.880482 -6.481312
3.503182 -5.600849 0.890459 -6.491307
3.521055 -5.600821 0.899364 -6.500184
3.538929 -5.600786 0.907148 -6.507934
3.556802 -5.600796 0.913850 -6.514647
3.574676 -5.600848 0.919096 -6.519943
3.592549 -5.600917 0.921984 -6.522902
3.610422 -5.600957 0.921587 -6.522545
3.628296 -5.600910 0.917659 -6.518570
3.646169 -5.600799 0.911038 -6.511837
3.664042 -5.600676 0.903486 -6.504162
3.681916 -5.600593 0.897002 -6.497595
3.699789 -5.600590 0.893018 -6.493607
3.717663 -5.600657 0.891888 -6.492544
3.735536 -5.600758 0.892949 -6.493707
3.753409 -5.600773 0.895361 -6.496134
3.771283 -5.600674 0.899339 -6.500013
3.789156 -5.600562 0.906413 -6.506975
3.807029 -5.600586 0.918012 -6.518599
3.824903 -5.600781 0.933607 -6.534387
3.842776 -5.601101 0.950117 -6.551218
3.860650 -5.601402 0.962797 -6.564199
3.878523 -5.601565 0.967057 -6.568622
3.896396 -5.601555 0.960263 -6.561817
3.914270 -5.601353 0.942682 -6.544035
3.932143 -5.600972 0.917742 -6.518714
3.950016 -5.600488 0.891669 -6.492157
3.967890 -5.600103 0.871920 -6.472023
3.985763 -5.600033 0.864332 -6.464365
4.003637 -5.600343 0.870273 -6.470616
4.021510 -5.600853 0.885787 -6.486641
4.039383 -5.601297 0.903837 -6.505134
4.057257 -5.601443 0.918221 -6.519664
4.075130 -5.601301 0.926590 -6.527891
4.093003 -5.601118 0.930411 -6.531529
4.110877 -5.601111 0.931773 -6.532883
4.128750 -5.601194 0.930699 -6.531893
4.146624 -5.601152 0.926134 -6.527286
4.164497 -5.600967 0.918373 -6.519339
4.182370 -5.600771 0.909566 -6.510337
4.200244 -5.600698 0.902135 -6.502833
4.218117 -5.600797 0.896916 -6.497713
4.235990 -5.600999 0.892448 -6.493448
4.253864 -5.601181 0.885801 -6.486982
4.271737 -5.601224 0.874501 -6.475725
4.289611 -5.601093 0.858157 -6.459250
4.307484 -5.600858 0.838816 -6.439674
4.325357 -5.600640 0.820057 -6.420697
4.343231 -5.600497 0.805440 -6.405937
4.361104 -5.600449 0.797436 -6.397886
4.378978 -5.600481 0.797062 -6.397543
4.396851 -5.600601 0.803855 -6.404456
4.414724 -5.600773 0.816054 -6.416827
4.432598 -5.600907 0.831185 -6.432092
4.450471 -5.600915 0.847290 -6.448205
4.468344 -5.600791 0.864127 -6.464918
4.486218 -5.600670 0.883019 -6.483689
4.504091 -5.600698 0.905085 -6.505784
4.521965 -5.600884 0.929379 -6.530262
4.539838 -5.601102 0.952847 -6.553949
4.557711 -5.601222 0.972020 -6.573242
4.575585 -5.601199 0.984736 -6.585935
4.593458 -5.601063 0.990977 -6.592040
4.611331 -5.600929 0.992447 -6.593375
4.629205 -5.600936 0.990812 -6.591748
4.647078 -5.600984 0.986392 -6.587376
4.664952 -5.600970 0.978846 -6.579816
4.682825 -5.600887 0.968513 -6.569399
4.700698 -5.600794 0.956606 -6.557401
4.718572 -5.600701 0.944683 -6.545384
4.736445 -5.600597 0.934363 -6.534959
4.754318 -5.600519 0.927272 -6.527791
4.772192 -5.600539 0.924554 -6.525093
4.790065 -5.600707 0.925795 -6.526502
4.807939 -5.600909 0.928740 -6.529650
4.825812 -5.601018 0.930606 -6.531624
4.843685 -5.600992 0.929813 -6.530805
4.861559 -5.600894 0.926595 -6.527489
4.879432 -5.600792 0.922287 -6.523079
4.897305 -5.600708 0.918380 -6.519088
4.915179 -5.600638 0.916145 -6.516784
4.933052 -5.600588 0.916578 -6.517166
4.950926 -5.600619 0.920150 -6.520769
4.968799 -5.600718 0.926387 -6.527105
4.986672 -5.600872 0.933777 -6.534650
5.004546 -5.601032 0.940157 -6.541189
5.022419 -5.601176 0.943248 -6.544425
5.040292 -5.601277 0.941132 -6.542409
5.058166 -5.601261 0.932827 -6.534088
5.076039 -5.601124 0.918918 -6.520042
5.093913 -5.600893 0.901804 -6.502697
5.111786 -5.600659 0.885134 -6.485793
5.129659 -5.600478 0.872742 -6.473220
5.147533 -5.600419 0.867474 -6.467893
5.165406 -5.600493 0.870215 -6.470708
5.183280 -5.600650 0.879669 -6.480319
5.201153 -5.600777 0.893283 -6.494060
5.219026 -5.600838 0.908620 -6.509458
5.236900 -5.600860 0.924049 -6.524909
5.254773 -5.600869 0.938637 -6.539507
5.272646 -5.600876 0.951772 -6.552648
5.290520 -5.600915 0.962802 -6.563716
5.308393 -5.600968 0.970804 -6.571771
5.326267 -5.601007 0.974773 -6.575780
5.344140 -5.600999 0.974129 -6.575128
5.362013 -5.600924 0.969164 -6.570088
5.379887 -5.600817 0.961129 -6.561947
5.397760 -5.600750 0.951759 -6.552509
5.415633 -5.600769 0.942289 -6.543058
5.433507 -5.600873 0.932744 -6.533617
5.451380 -5.600951 0.922276 -6.523227
5.469254 -5.600906 0.910460 -6.511366
5.487127 -5.600731 0.898515 -6.499246
5.505000 -5.600580 0.889111 -6.489691
5.522874 -5.600594 0.884460 -6.485054
5.540747 -5.600740 0.884560 -6.485300
5.558620 -5.600854 0.887685 -6.488539
5.576494 -5.600886 0.892226 -6.493112
5.594367 -5.600889 0.897473 -6.498362
5.612241 -5.600918 0.903030 -6.503948
5.630114 -5.600950 0.908257 -6.509207
5.647987 -5.600988 0.912269 -6.513257
5.665861 -5.600976 0.914296 -6.515272
5.683734 -5.600893 0.914267 -6.515159
5.701607 -5.600762 0.913061 -6.513824
5.719481 -5.600613 0.912338 -6.512951
5.737354 -5.600471 0.914106 -6.514577
5.755228 -5.600400 0.920126 -6.520525
5.773101 -5.600433 0.931160 -6.531593
5.790974 -5.600578 0.946374 -6.546951
5.808848 -5.600775 0.963331 -6.564106
5.826721 -5.600940 0.978855 -6.579795
5.844594 -5.601034 0.990212 -6.591247
5.862468 -5.601046 0.995837 -6.596883
5.880341 -5.601011 0.995414 -6.596425
5.898215 -5.600929 0.989639 -6.590569
5.916088 -5.600832 0.979955 -6.580787
5.933961 -5.600723 0.968251 -6.568974
5.951835 -5.600602 0.956678 -6.557279
5.969708 -5.600478 0.947511 -6.547989
5.987581 -5.600420 0.942753 -6.543173
6.005455 -5.600465 0.943386 -6.543851
6.023328 -5.600586 0.948851 -6.549437
6.041202 -5.600718 0.957392 -6.558110
6.059075 -5.600801 0.967011 -6.567812
6.076948 -5.600850 0.976264 -6.577114
6.094822 -5.600898 0.984256 -6.585154
6.112695 -5.600986 0.990057 -6.591043
6.130569 -5.601069 0.992428 -6.593497
6.148442 -5.601062 0.990496 -6.591558
6.166315 -5.600948 0.984707 -6.585654
6.184189 -5.600834 0.976728 -6.577562
6.202062 -5.600822 0.968118 -6.568940
6.219935 -5.600837 0.959339 -6.560177
6.237809 -5.600797 0.950375 -6.551172
6.255682 -5.600736 0.941663 -6.542399
6.273556 -5.600749 0.933758 -6.534507
6.291429 -5.600826 0.926460 -6.527286
6.309302 -5.600879 0.918902 -6.519780
6.327176 -5.600877 0.910489 -6.511365
6.345049 -5.600861 0.901428 -6.502289
6.362922 -5.600895 0.892302 -6.493197
6.380796 -5.601023 0.883122 -6.484145
6.398669 -5.601134 0.873001 -6.474135
6.416543 -5.601061 0.861474 -6.462534
6.434416 -5.600816 0.850423 -6.451240
6.452289 -5.600672 0.843505 -6.444177
6.470163 -5.600807 0.842779 -6.443586
6.488036 -5.601075 0.846601 -6.447677
6.505909 -5.601287 0.851129 -6.452417
6.523783 -5.601332 0.853234 -6.454566
6.541656 -5.601197 0.852224 -6.453421
6.559530 -5.600926 0.850148 -6.451074
6.577403 -5.600623 0.851153 -6.451777
6.595276 -5.600545 0.859426 -6.459972
6.613150 -5.600824 0.875622 -6.476445
6.631023 -5.601083 0.895769 -6.496852
6.648896 -5.601071 0.915394 -6.516465
6.666770 -5.600892 0.933297 -6.534189
6.684643 -5.600756 0.950739 -6.551495
6.702517 -5.600762 0.968691 -6.569454
6.720390 -5.600888 0.986429 -6.587317
6.738263 -5.601031 1.001831 -6.602861
6.756137 -5.601131 1.012521 -6.613651
6.774010 -5.601146 1.016953 -6.618099
6.791883 -5.601119 1.014742 -6.615861
6.809757 -5.601104 1.006270 -6.607374
6.827630 -5.601087 0.992148 -6.593234
6.845504 -5.601029 0.973209 -6.574237
6.863377 -5.600856 0.951178 -6.552034
6.881250 -5.600550 0.929479 -6.530029
6.899124 -5.600284 0.913060 -6.513344
6.916997 -5.600317 0.905821 -6.506138
6.934871 -5.600619 0.907461 -6.508079
6.952744 -5.600904 0.913887 -6.514791
6.970617 -5.601073 0.920464 -6.521537
6.988491 -5.601147 0.924031 -6.525178
7.006364 -5.601137 0.923105 -6.524242
7.024237 -5.601049 0.917708 -6.518757
7.042111 -5.600915 0.909129 -6.510043
7.059984 -5.600716 0.899716 -6.500432
7.077858 -5.600471 0.892751 -6.493223
7.095731 -5.600317 0.891846 -6.492164
7.113604 -5.600362 0.899249 -6.499611
7.131478 -5.600598 0.914220 -6.514819
7.149351 -5.600892 0.933169 -6.534061
7.167224 -5.601120 0.951449 -6.552569
7.185098 -5.601230 0.965287 -6.566517
7.202971 -5.601259 0.972541 -6.573800
7.220845 -5.601236 0.972486 -6.573722
7.238718 -5.601154 0.965495 -6.566649
7.256591 -5.601011 0.952991 -6.554002
7.274465 -5.600790 0.937556 -6.538346
7.292338 -5.600544 0.922780 -6.523323
7.310211 -5.600373 0.912407 -6.512780
7.328085 -5.600339 0.908967 -6.509306
7.345958 -5.600454 0.912721 -6.513175
7.363832 -5.600673 0.921653 -6.522326
7.381705 -5.600905 0.932339 -6.533244
