#t E KE PE
25.737664 -5.601033 0.845153 -6.446186
25.755537 -5.600871 0.850412 -6.451283
25.773411 -5.600747 0.854097 -6.454844
25.791284 -5.600763 0.857837 -6.458600
25.809157 -5.600894 0.861423 -6.462317
25.827031 -5.601012 0.863058 -6.464070
25.844904 -5.600984 0.861211 -6.462195
25.862777 -5.600799 0.856358 -6.457156
25.880651 -5.600541 0.851297 -6.451838
25.898524 -5.600415 0.849688 -6.450103
25.916398 -5.600576 0.853270 -6.453846
25.934271 -5.600961 0.859795 -6.460756
25.952144 -5.601335 0.863946 -6.465281
25.970018 -5.601508 0.860492 -6.461999
25.987891 -5.601413 0.847160 -6.448573
26.005764 -5.601059 0.825942 -6.427002
26.023638 -5.600679 0.802321 -6.403000
26.041511 -5.600486 0.782283 -6.382768
26.059385 -5.600433 0.769511 -6.369944
26.077258 -5.600380 0.765503 -6.365883
26.095131 -5.600378 0.770866 -6.371244
26.113005 -5.600491 0.785097 -6.385588
26.130878 -5.600657 0.806000 -6.406657
26.148751 -5.600806 0.830399 -6.431204
26.166625 -5.600934 0.855150 -6.456084
26.184498 -5.601014 0.877574 -6.478588
26.202372 -5.601049 0.895730 -6.496779
26.220245 -5.601067 0.908489 -6.509555
26.238118 -5.601069 0.915259 -6.516328
26.255992 -5.601071 0.915734 -6.516805
26.273865 -5.601074 0.909865 -6.510939
26.291738 -5.601071 0.897855 -6.498927
26.309612 -5.601019 0.880308 -6.481327
26.327485 -5.600900 0.858625 -6.459526
26.345359 -5.600727 0.835216 -6.435943
26.363232 -5.600514 0.813282 -6.413796
26.381105 -5.600313 0.796323 -6.396635
26.398979 -5.600206 0.787411 -6.387618
26.416852 -5.600291 0.787917 -6.388207
26.434725 -5.600527 0.796448 -6.396976
26.452599 -5.600782 0.809369 -6.410150
26.470472 -5.600939 0.822671 -6.423609
26.488346 -5.601000 0.833570 -6.434571
26.506219 -5.601037 0.840655 -6.441692
26.524092 -5.601038 0.843314 -6.444352
26.541966 -5.600945 0.841767 -6.442712
26.559839 -5.600816 0.837412 -6.438228
26.577712 -5.600830 0.831884 -6.432714
26.595586 -5.600964 0.825119 -6.426083
26.613459 -5.600988 0.815633 -6.416621
26.631333 -5.600783 0.803335 -6.404118
26.649206 -5.600488 0.791059 -6.391547
26.667079 -5.600308 0.782901 -6.383209
26.684953 -5.600280 0.781624 -6.381904
26.702826 -5.600332 0.787812 -6.388144
26.720700 -5.600420 0.800562 -6.400982
26.738573 -5.600542 0.818197 -6.418739
26.756446 -5.600694 0.838456 -6.439151
26.774320 -5.600837 0.858710 -6.459547
26.792193 -5.600935 0.876455 -6.477390
26.810066 -5.601008 0.889725 -6.490733
26.827940 -5.601071 0.897170 -6.498241
26.845813 -5.601092 0.898003 -6.499095
26.863687 -5.600998 0.892439 -6.493437
26.881560 -5.600712 0.882749 -6.483461
26.899433 -5.600428 0.873466 -6.473894
26.917307 -5.600489 0.868543 -6.469032
26.935180 -5.600817 0.867450 -6.468266
26.953053 -5.601049 0.866009 -6.467058
26.970927 -5.601043 0.860846 -6.461889
26.988800 -5.600885 0.851695 -6.452580
27.006674 -5.600637 0.840933 -6.441570
27.024547 -5.600342 0.832536 -6.432877
27.042420 -5.600129 0.831011 -6.431140
27.060294 -5.600170 0.839454 -6.439623
27.078167 -5.600478 0.857273 -6.457751
27.096040 -5.600871 0.879980 -6.480851
27.113914 -5.601166 0.901596 -6.502761
27.131787 -5.601308 0.917286 -6.518595
27.149661 -5.601339 0.924376 -6.525715
27.167534 -5.601319 0.922057 -6.523376
27.185407 -5.601253 0.910782 -6.512035
27.203281 -5.601076 0.892221 -6.493297
27.221154 -5.600743 0.870018 -6.470760
27.239027 -5.600489 0.849563 -6.450052
27.256901 -5.600633 0.834582 -6.435215
27.274774 -5.600968 0.823648 -6.424616
27.292648 -5.601082 0.812556 -6.413638
27.310521 -5.600924 0.799521 -6.400445
27.328394 -5.600670 0.786509 -6.387179
27.346268 -5.600475 0.777189 -6.377664
27.364141 -5.600439 0.774609 -6.375048
27.382014 -5.600594 0.779440 -6.380033
27.399888 -5.600800 0.789561 -6.390361
27.417761 -5.600889 0.801871 -6.402760
27.435635 -5.600886 0.814440 -6.415326
27.453508 -5.600912 0.826533 -6.427446
27.471381 -5.600997 0.837349 -6.438346
27.489255 -5.601083 0.845539 -6.446622
27.507128 -5.601081 0.849950 -6.451031
27.525002 -5.600984 0.850566 -6.451551
27.542875 -5.600850 0.848708 -6.449557
27.560748 -5.600757 0.846313 -6.447071
27.578622 -5.600749 0.844884 -6.445633
27.596495 -5.600821 0.844754 -6.445575
27.614368 -5.600945 0.845046 -6.445991
27.632242 -5.601050 0.844216 -6.445266
27.650115 -5.601040 0.841145 -6.442185
27.667989 -5.600899 0.836349 -6.437248
27.685862 -5.600737 0.831941 -6.432678
27.703735 -5.600655 0.830276 -6.430931
27.721609 -5.600639 0.832696 -6.433335
27.739482 -5.600672 0.839296 -6.439968
27.757355 -5.600756 0.849203 -6.449960
27.775229 -5.600868 0.860765 -6.461633
27.793102 -5.600991 0.871827 -6.472817
27.810976 -5.601120 0.880092 -6.481212
27.828849 -5.601228 0.883395 -6.484623
27.846722 -5.601296 0.879966 -6.481262
27.864596 -5.601281 0.868913 -6.470195
27.882469 -5.601170 0.850713 -6.451883
27.900342 -5.601007 0.827339 -6.428346
27.918216 -5.600821 0.801837 -6.402658
27.936089 -5.600615 0.777750 -6.378364
27.953963 -5.600391 0.758967 -6.359357
27.971836 -5.600182 0.749542 -6.349724
27.989709 -5.600104 0.752786 -6.352890
28.007583 -5.600231 0.769788 -6.370019
28.025456 -5.600589 0.798078 -6.398667
28.043329 -5.601025 0.831745 -6.432771
28.061203 -5.601331 0.863681 -6.465012
28.079076 -5.601465 0.888298 -6.489763
28.096950 -5.601485 0.902604 -6.504089
28.114823 -5.601441 0.905712 -6.507153
28.132696 -5.601343 0.898193 -6.499536
28.150570 -5.601174 0.881807 -6.482981
28.168443 -5.600931 0.859575 -6.460506
28.186316 -5.600647 0.835701 -6.436347
28.204190 -5.600427 0.814832 -6.415259
28.222063 -5.600363 0.800571 -6.400934
28.239937 -5.600455 0.794207 -6.394662
28.257810 -5.600619 0.794699 -6.395317
28.275683 -5.600785 0.799674 -6.400459
28.293557 -5.600889 0.806677 -6.407566
28.311430 -5.600917 0.814058 -6.414975
28.329304 -5.600931 0.821080 -6.422011
28.347177 -5.600990 0.827237 -6.428227
28.365050 -5.601036 0.831665 -6.432700
28.382924 -5.600999 0.833690 -6.434688
28.400797 -5.600924 0.833580 -6.434504
28.418670 -5.600916 0.832004 -6.432920
28.436544 -5.600979 0.828912 -6.429890
28.454417 -5.601027 0.823456 -6.424482
28.472291 -5.600993 0.815009 -6.416002
28.490164 -5.600894 0.804035 -6.404929
28.508037 -5.600777 0.792037 -6.392814
28.525911 -5.600685 0.780867 -6.381552
28.543784 -5.600654 0.772005 -6.372660
28.561657 -5.600653 0.766244 -6.366897
28.579531 -5.600648 0.763898 -6.364546
28.597404 -5.600651 0.765146 -6.365798
28.615278 -5.600708 0.769892 -6.370600
28.633151 -5.600819 0.777267 -6.378086
28.651024 -5.600898 0.785781 -6.386679
28.668898 -5.600887 0.794320 -6.395207
28.686771 -5.600805 0.802913 -6.403718
28.704644 -5.600760 0.812312 -6.413071
28.722518 -5.600804 0.822791 -6.423596
28.740391 -5.600922 0.833368 -6.434290
28.758265 -5.601045 0.842083 -6.443128
28.776138 -5.601081 0.847047 -6.448128
28.794011 -5.601004 0.847563 -6.448567
28.811885 -5.600866 0.844542 -6.445409
28.829758 -5.600768 0.839787 -6.440555
28.847631 -5.600759 0.834797 -6.435556
28.865505 -5.600815 0.830013 -6.430828
28.883378 -5.600879 0.824970 -6.425849
28.901252 -5.600908 0.819064 -6.419972
28.919125 -5.600897 0.812209 -6.413106
28.936998 -5.600877 0.804922 -6.405800
28.954872 -5.600852 0.797947 -6.398799
28.972745 -5.600769 0.792253 -6.393021
28.990618 -5.600618 0.789606 -6.390224
29.008492 -5.600505 0.792478 -6.392983
29.026365 -5.600567 0.802392 -6.402959
29.044239 -5.600770 0.818352 -6.419123
29.062112 -5.601007 0.837167 -6.438173
29.079985 -5.601184 0.855010 -6.456195
29.097859 -5.601272 0.868766 -6.470038
29.115732 -5.601292 0.876607 -6.477899
29.133605 -5.601282 0.877872 -6.479154
29.151479 -5.601228 0.872713 -6.473940
29.169352 -5.601122 0.862108 -6.463230
29.187226 -5.600955 0.848056 -6.449011
29.205099 -5.600741 0.833490 -6.434231
29.222972 -5.600510 0.822003 -6.422513
29.240846 -5.600330 0.817243 -6.417573
29.258719 -5.600308 0.821789 -6.422097
29.276593 -5.600481 0.835790 -6.436272
29.294466 -5.600768 0.856518 -6.457286
29.312339 -5.601024 0.879537 -6.480561
29.330213 -5.601169 0.900668 -6.501837
29.348086 -5.601223 0.917198 -6.518421
29.365959 -5.601258 0.927709 -6.528967
29.383833 -5.601298 0.931347 -6.532645
29.401706 -5.601311 0.927508 -6.528819
29.419580 -5.601249 0.916205 -6.517454
29.437453 -5.601090 0.898704 -6.499793
29.455326 -5.600870 0.877706 -6.478576
29.473200 -5.600615 0.856928 -6.457543
29.491073 -5.600393 0.840392 -6.440785
29.508946 -5.600257 0.831572 -6.431829
29.526820 -5.600293 0.832292 -6.432585
29.544693 -5.600505 0.841691 -6.442195
29.562567 -5.600797 0.856305 -6.457102
29.580440 -5.601034 0.871490 -6.472524
29.598313 -5.601162 0.883186 -6.484348
29.616187 -5.601172 0.889004 -6.490175
29.634060 -5.601106 0.888362 -6.489468
29.651933 -5.601007 0.882054 -6.483061
29.669807 -5.600916 0.871617 -6.472533
29.687680 -5.600834 0.858781 -6.459615
29.705554 -5.600772 0.845166 -6.445938
29.723427 -5.600708 0.832239 -6.432947
29.741300 -5.600618 0.821476 -6.422093
29.759174 -5.600526 0.814538 -6.415064
29.777047 -5.600511 0.812880 -6.413390
29.794920 -5.600615 0.816776 -6.417391
29.812794 -5.600789 0.824727 -6.425516
29.830667 -5.600913 0.834213 -6.435126
29.848541 -5.600946 0.843242 -6.444188
29.866414 -5.600936 0.851067 -6.452003
29.884287 -5.600946 0.857598 -6.458543
29.902161 -5.600966 0.862708 -6.463674
29.920034 -5.600980 0.866186 -6.467166
29.937907 -5.600990 0.867943 -6.468933
29.955781 -5.601019 0.867977 -6.468996
29.973654 -5.601065 0.866139 -6.467204
29.991528 -5.601048 0.862312 -6.463360
30.009401 -5.600904 0.857288 -6.458192
30.027274 -5.600694 0.853413 -6.454107
30.045148 -5.600591 0.853612 -6.454203
30.063021 -5.600723 0.859033 -6.459756
30.080895 -5.601025 0.867550 -6.468575
30.098768 -5.601298 0.874815 -6.476113
30.116641 -5.601427 0.876756 -6.478183
30.134515 -5.601406 0.871343 -6.472749
30.152388 -5.601281 0.858857 -6.460138
30.170261 -5.601115 0.841222 -6.442336
30.188135 -5.600889 0.821386 -6.422275
30.206008 -5.600656 0.802987 -6.403643
30.223882 -5.600495 0.789601 -6.390096
30.241755 -5.600503 0.783427 -6.383930
30.259628 -5.600659 0.784184 -6.384843
30.277502 -5.600843 0.789385 -6.390228
30.295375 -5.600954 0.796009 -6.396963
30.313248 -5.600960 0.802002 -6.402961
30.331122 -5.600901 0.806739 -6.407640
30.348995 -5.600829 0.810637 -6.411465
30.366869 -5.600799 0.814383 -6.415182
30.384742 -5.600827 0.818205 -6.419032
30.402615 -5.600908 0.821521 -6.422429
30.420489 -5.600996 0.823111 -6.424107
30.438362 -5.601024 0.821809 -6.422833
30.456235 -5.600955 0.817411 -6.418366
30.474109 -5.600833 0.811080 -6.411914
30.491982 -5.600684 0.804966 -6.405650
30.509856 -5.600530 0.801655 -6.402185
30.527729 -5.600427 0.803691 -6.404118
30.545602 -5.600475 0.812613 -6.413088
30.563476 -5.600637 0.827839 -6.428476
30.581349 -5.600760 0.847090 -6.447850
30.599222 -5.600812 0.868175 -6.468987
30.617096 -5.600907 0.889534 -6.490441
30.634969 -5.601087 0.909185 -6.510272
30.652843 -5.601257 0.924256 -6.525513
30.670716 -5.601295 0.932193 -6.533488
30.688589 -5.601153 0.932500 -6.533653
30.706463 -5.600930 0.927218 -6.528149
30.724336 -5.600797 0.919450 -6.520246
30.742209 -5.600762 0.911329 -6.512090
30.760083 -5.600729 0.903655 -6.504384
30.777956 -5.600643 0.896964 -6.497608
30.795830 -5.600560 0.892137 -6.492698
30.813703 -5.600516 0.889999 -6.490515
30.831576 -5.600530 0.890769 -6.491298
30.849450 -5.600620 0.893853 -6.494472
30.867323 -5.600769 0.897662 -6.498431
30.885196 -5.600949 0.899727 -6.500676
30.903070 -5.601108 0.897293 -6.498401
30.920943 -5.601215 0.888073 -6.489288
30.938817 -5.601243 0.870826 -6.472069
30.956690 -5.601174 0.845768 -6.446942
30.974563 -5.600959 0.814979 -6.415937
30.992437 -5.600632 0.782635 -6.383266
31.010310 -5.600319 0.754382 -6.354701
31.028184 -5.600204 0.735399 -6.335603
31.046057 -5.600355 0.727868 -6.328223
31.063930 -5.600632 0.730073 -6.330705
31.081804 -5.600824 0.738268 -6.339093
31.099677 -5.600821 0.749577 -6.350397
31.117550 -5.600676 0.763569 -6.364246
31.135424 -5.600571 0.781574 -6.382145
31.153297 -5.600664 0.804316 -6.404981
31.171171 -5.600940 0.829874 -6.430814
31.189044 -5.601209 0.853998 -6.455207
31.206917 -5.601298 0.872565 -6.473863
31.224791 -5.601168 0.883994 -6.485162
31.242664 -5.600950 0.889785 -6.490735
31.260537 -5.600846 0.892679 -6.493525
31.278411 -5.600872 0.894259 -6.495131
31.296284 -5.600913 0.894461 -6.495374
31.314158 -5.600879 0.892906 -6.493785
31.332031 -5.600811 0.889987 -6.490798
31.349904 -5.600773 0.886574 -6.487347
31.367778 -5.600757 0.883308 -6.484065
31.385651 -5.600729 0.880564 -6.481294
31.403524 -5.600692 0.878864 -6.479555
31.421398 -5.600711 0.878796 -6.479508
31.439271 -5.600855 0.880060 -6.480915
31.457145 -5.601019 0.880953 -6.481973
31.475018 -5.600992 0.879815 -6.480807
31.492891 -5.600701 0.877560 -6.478262
31.510765 -5.600383 0.878277 -6.478661
31.528638 -5.600369 0.886065 -6.486434
31.546511 -5.600706 0.900798 -6.501504
31.564385 -5.601139 0.917443 -6.518582
31.582258 -5.601401 0.929401 -6.530802
31.600132 -5.601441 0.932141 -6.533582
31.618005 -5.601298 0.924531 -6.525829
31.635878 -5.601059 0.908291 -6.509350
31.653752 -5.600764 0.887038 -6.487801
31.671625 -5.600480 0.865356 -6.465837
31.689498 -5.600258 0.847777 -6.448035
31.707372 -5.600130 0.837890 -6.438021
31.725245 -5.600133 0.837693 -6.437826
31.743119 -5.600307 0.846945 -6.447252
31.760992 -5.600622 0.862745 -6.463366
31.778865 -5.600969 0.880084 -6.481053
31.796739 -5.601226 0.893472 -6.494697
31.814612 -5.601302 0.898837 -6.500139
31.832486 -5.601179 0.894826 -6.496005
31.850359 -5.600887 0.883215 -6.484102
31.868232 -5.600521 0.868415 -6.468936
31.886106 -5.600229 0.855951 -6.456181
31.903979 -5.600131 0.850270 -6.450401
31.921852 -5.600244 0.852923 -6.453167
31.939726 -5.600490 0.862265 -6.462755
31.957599 -5.600770 0.874574 -6.475344
31.975473 -5.601004 0.885581 -6.486584
31.993346 -5.601145 0.891679 -6.492824
32.011219 -5.601187 0.890711 -6.491897
32.029093 -5.601141 0.882183 -6.483324
32.046966 -5.601013 0.867091 -6.468105
32.064839 -5.600807 0.847799 -6.448606
32.082713 -5.600549 0.827876 -6.428425
32.100586 -5.600341 0.811382 -6.411723
32.118460 -5.600287 0.801393 -6.401680
32.136333 -5.600379 0.798740 -6.399119
32.154206 -5.600550 0.802029 -6.402579
32.172080 -5.600742 0.808546 -6.409288
32.189953 -5.600911 0.815209 -6.416120
32.207826 -5.601009 0.819371 -6.420380
32.225700 -5.601018 0.819531 -6.420549
32.243573 -5.600967 0.815621 -6.416588
32.261447 -5.600879 0.808731 -6.409609
32.279320 -5.600767 0.800614 -6.401381
32.297193 -5.600621 0.793498 -6.394119
32.315067 -5.600444 0.790103 -6.390548
32.332940 -5.600335 0.793220 -6.393555
32.350813 -5.600393 0.804438 -6.404831
32.368687 -5.600615 0.822797 -6.423412
32.386560 -5.600906 0.844817 -6.445724
32.404434 -5.601156 0.865897 -6.467054
32.422307 -5.601308 0.881927 -6.483235
32.440180 -5.601337 0.890277 -6.491614
32.458054 -5.601242 0.890286 -6.491527
32.475927 -5.601036 0.883418 -6.484454
32.493800 -5.600802 0.872848 -6.473650
32.511674 -5.600649 0.862276 -6.462925
32.529547 -5.600626 0.854447 -6.455073
32.547421 -5.600616 0.850603 -6.451219
32.565294 -5.600556 0.851455 -6.452011
32.583167 -5.600581 0.857862 -6.458443
32.601041 -5.600890 0.868989 -6.469879
32.618914 -5.601330 0.880316 -6.481646
32.636788 -5.601570 0.885719 -6.487288
32.654661 -5.601473 0.881791 -6.483264
32.672534 -5.601146 0.869969 -6.471116
32.690408 -5.600840 0.855081 -6.455921
32.708281 -5.600700 0.841864 -6.442563
32.726154 -5.600620 0.832993 -6.433612
32.744028 -5.600567 0.829820 -6.430387
32.761901 -5.600650 0.832694 -6.433344
32.779775 -5.600867 0.839969 -6.440836
32.797648 -5.601085 0.848140 -6.449225
32.815521 -5.601216 0.853536 -6.454752
32.833395 -5.601226 0.853820 -6.455046
32.851268 -5.601120 0.848591 -6.449711
32.869141 -5.600956 0.839273 -6.440228
32.887015 -5.600830 0.828263 -6.429093
32.904888 -5.600823 0.817614 -6.418437
32.922762 -5.600949 0.807894 -6.408843
32.940635 -5.601054 0.798259 -6.399312
32.958508 -5.600926 0.788489 -6.389416
32.976382 -5.600598 0.781460 -6.382058
32.994255 -5.600504 0.781897 -6.382401
33.012128 -5.600838 0.791042 -6.391879
33.030002 -5.601193 0.804591 -6.405784
33.047875 -5.601282 0.817198 -6.418479
33.065749 -5.601169 0.826615 -6.427784
33.083622 -5.600997 0.833603 -6.434600
33.101495 -5.600853 0.840075 -6.440928
33.119369 -5.600777 0.847787 -6.448565
33.137242 -5.600768 0.857696 -6.458464
33.155115 -5.600855 0.869540 -6.470396
33.172989 -5.601004 0.881832 -6.482836
33.190862 -5.601137 0.892344 -6.493481
33.208736 -5.601218 0.899034 -6.500252
33.226609 -5.601252 0.900666 -6.501918
33.244482 -5.601275 0.896659 -6.497934
33.262356 -5.601223 0.886925 -6.488147
33.280229 -5.601048 0.872417 -6.473465
33.298102 -5.600792 0.855704 -6.456496
33.315976 -5.600578 0.840334 -6.440912
33.333849 -5.600499 0.829252 -6.429750
33.351723 -5.600556 0.823564 -6.424121
33.369596 -5.600660 0.822513 -6.423173
33.387469 -5.600712 0.824583 -6.425295
33.405343 -5.600683 0.828814 -6.429498
33.423216 -5.600617 0.835315 -6.435932
33.441089 -5.600564 0.844773 -6.445336
33.458963 -5.600565 0.857655 -6.458221
33.476836 -5.600588 0.873820 -6.474408
33.494710 -5.600598 0.892791 -6.493389
33.512583 -5.600629 0.914108 -6.514737
33.530456 -5.600767 0.936818 -6.537585
33.548330 -5.601002 0.958604 -6.559606
33.566203 -5.601222 0.975888 -6.577111
33.584077 -5.601310 0.985416 -6.586727
33.601950 -5.601230 0.985969 -6.587200
33.619823 -5.601087 0.978648 -6.579735
33.637697 -5.601013 0.965591 -6.566603
33.655570 -5.601042 0.948348 -6.549390
33.673443 -5.601045 0.927523 -6.528569
33.691317 -5.600869 0.904207 -6.505076
33.709190 -5.600489 0.881892 -6.482381
33.727064 -5.600091 0.866581 -6.466672
33.744937 -5.600003 0.863916 -6.463920
33.762810 -5.600338 0.874993 -6.475330
33.780684 -5.600888 0.894840 -6.495728
33.798557 -5.601337 0.915305 -6.516642
33.816430 -5.601519 0.929383 -6.530902
33.834304 -5.601410 0.933884 -6.535294
33.852177 -5.601101 0.930004 -6.531105
33.870051 -5.600809 0.921913 -6.522722
33.887924 -5.600720 0.913754 -6.514473
33.905797 -5.600796 0.907169 -6.507965
33.923671 -5.600865 0.901568 -6.502434
33.941544 -5.600857 0.896103 -6.496959
33.959417 -5.600822 0.890742 -6.491563
33.977291 -5.600815 0.885793 -6.486609
33.995164 -5.600818 0.881325 -6.482143
34.013038 -5.600802 0.877224 -6.478025
34.030911 -5.600781 0.873496 -6.474277
34.048784 -5.600760 0.870244 -6.471005
34.066658 -5.600763 0.867401 -6.468164
34.084531 -5.600773 0.864708 -6.465481
34.102404 -5.600756 0.861934 -6.462690
34.120278 -5.600709 0.859190 -6.459900
34.138151 -5.600632 0.857100 -6.457731
34.156025 -5.600548 0.856748 -6.457296
34.173898 -5.600512 0.859234 -6.459746
34.191771 -5.600559 0.864962 -6.465522
34.209645 -5.600703 0.873087 -6.473790
34.227518 -5.600872 0.881529 -6.482401
34.245391 -5.600984 0.887804 -6.488788
34.263265 -5.600976 0.890247 -6.491223
34.281138 -5.600834 0.888995 -6.489828
34.299012 -5.600605 0.886163 -6.486768
34.316885 -5.600415 0.884981 -6.485395
34.334758 -5.600425 0.887939 -6.488364
34.352632 -5.600675 0.894704 -6.495379
34.370505 -5.601001 0.901728 -6.502729
34.388379 -5.601207 0.904368 -6.505575
34.406252 -5.601207 0.899627 -6.500834
34.424125 -5.601024 0.887526 -6.488550
34.441999 -5.600743 0.870883 -6.471626
34.459872 -5.600481 0.854025 -6.454507
34.477745 -5.600374 0.840884 -6.441258
34.495619 -5.600405 0.833403 -6.433808
34.513492 -5.600499 0.831416 -6.431915
34.531366 -5.600585 0.833666 -6.434252
34.549239 -5.600654 0.838773 -6.439428
34.567112 -5.600722 0.845513 -6.446236
34.584986 -5.600797 0.852707 -6.453504
34.602859 -5.600856 0.859199 -6.460054
34.620732 -5.600867 0.864137 -6.465004
34.638606 -5.600789 0.867480 -6.468270
34.656479 -5.600649 0.870342 -6.470991
34.674353 -5.600525 0.874634 -6.475159
34.692226 -5.600484 0.881964 -6.482448
34.710099 -5.600534 0.892688 -6.493222
34.727973 -5.600643 0.905772 -6.506415
34.745846 -5.600799 0.919151 -6.519950
34.763719 -5.600974 0.930083 -6.531056
34.781593 -5.601127 0.935655 -6.536781
34.799466 -5.601212 0.933501 -6.534713
34.817340 -5.601196 0.922507 -6.523703
34.835213 -5.601096 0.903125 -6.504221
34.853086 -5.600954 0.877167 -6.478122
34.870960 -5.600786 0.847330 -6.448116
34.888833 -5.600607 0.816775 -6.417383
34.906706 -5.600444 0.788788 -6.389233
34.924580 -5.600325 0.766345 -6.366670
34.942453 -5.600270 0.751625 -6.351895
34.960327 -5.600292 0.745682 -6.345975
34.978200 -5.600409 0.748275 -6.348684
34.996073 -5.600606 0.757754 -6.358360
35.013947 -5.600852 0.771167 -6.372019
35.031820 -5.601040 0.784993 -6.386032
35.049693 -5.601096 0.796476 -6.397572
35.067567 -5.601030 0.804655 -6.405686
35.085440 -5.600943 0.810137 -6.411080
35.103314 -5.600906 0.813927 -6.414833
35.121187 -5.600935 0.816429 -6.417364
35.139060 -5.600983 0.817295 -6.418278
35.156934 -5.600955 0.816124 -6.417079
35.174807 -5.600810 0.813566 -6.414376
35.192681 -5.600630 0.811705 -6.412335
35.210554 -5.600537 0.813051 -6.413588
35.228427 -5.600577 0.818938 -6.419514
35.246301 -5.600716 0.828658 -6.429373
35.264174 -5.600868 0.839938 -6.440807
35.282047 -5.600969 0.850141 -6.451110
35.299921 -5.601011 0.857259 -6.458270
35.317794 -5.601005 0.860257 -6.461262
35.335668 -5.600959 0.858965 -6.459924
35.353541 -5.600878 0.853948 -6.454826
35.371414 -5.600772 0.846448 -6.447220
35.389288 -5.600701 0.838051 -6.438752
35.407161 -5.600732 0.829833 -6.430565
35.425034 -5.600824 0.821664 -6.422488
35.442908 -5.600852 0.812731 -6.413583
35.460781 -5.600708 0.803231 -6.403939
35.478655 -5.600441 0.795661 -6.396103
35.496528 -5.600279 0.793907 -6.394185
35.514401 -5.600368 0.800314 -6.400682
35.532275 -5.600603 0.813805 -6.414408
35.550148 -5.600846 0.830884 -6.431730
35.568021 -5.601060 0.847541 -6.448601
35.585895 -5.601217 0.860214 -6.461431
35.603768 -5.601263 0.866396 -6.467659
35.621642 -5.601164 0.865354 -6.466518
35.639515 -5.600954 0.858466 -6.459419
35.657388 -5.600737 0.848699 -6.449436
35.675262 -5.600572 0.839421 -6.439993
35.693135 -5.600519 0.833181 -6.433700
35.711008 -5.600566 0.830959 -6.431524
35.728882 -5.600671 0.832216 -6.432887
35.746755 -5.600764 0.835567 -6.436331
35.764629 -5.600816 0.839651 -6.440467
35.782502 -5.600792 0.843811 -6.444604
35.800375 -5.600737 0.848280 -6.449017
35.818249 -5.600742 0.853548 -6.454290
35.836122 -5.600805 0.859412 -6.460218
35.853995 -5.600872 0.864845 -6.465717
35.871869 -5.600855 0.868936 -6.469791
35.889742 -5.600771 0.871842 -6.472613
35.907616 -5.600718 0.874564 -6.475282
35.925489 -5.600775 0.877752 -6.478527
35.943362 -5.600873 0.880847 -6.481720
35.961236 -5.600946 0.882571 -6.483517
35.979109 -5.600967 0.881955 -6.482922
35.996982 -5.600960 0.878819 -6.479780
36.014856 -5.600929 0.873697 -6.474626
36.032729 -5.600880 0.867539 -6.468419
36.050603 -5.600825 0.861425 -6.462251
36.068476 -5.600818 0.856170 -6.456988
36.086349 -5.600829 0.851929 -6.452759
36.104223 -5.600760 0.848648 -6.449408
36.122096 -5.600617 0.847090 -6.447707
36.139970 -5.600535 0.848759 -6.449295
36.157843 -5.600603 0.854306 -6.454909
36.175716 -5.600777 0.862334 -6.463112
36.193590 -5.600965 0.869903 -6.470868
36.211463 -5.601095 0.873904 -6.474999
36.229336 -5.601116 0.872235 -6.473350
36.247210 -5.601027 0.864460 -6.465486
36.265083 -5.600835 0.852043 -6.452878
36.282957 -5.600634 0.837939 -6.438573
36.300830 -5.600522 0.825369 -6.425891
36.318703 -5.600560 0.816348 -6.416908
36.336577 -5.600685 0.810964 -6.411649
36.354450 -5.600755 0.808175 -6.408930
36.372323 -5.600731 0.807480 -6.408212
36.390197 -5.600737 0.809412 -6.410149
36.408070 -5.600907 0.813857 -6.414764
36.425944 -5.601172 0.818490 -6.419662
36.443817 -5.601292 0.820032 -6.421324
36.461690 -5.601164 0.817157 -6.418321
36.479564 -5.600886 0.811838 -6.412724
36.497437 -5.600613 0.808236 -6.408848
36.515310 -5.600489 0.810321 -6.410810
36.533184 -5.600528 0.819900 -6.420429
36.551057 -5.600673 0.836180 -6.436853
36.568931 -5.600885 0.856493 -6.457377
36.586804 -5.601103 0.877117 -6.478221
36.604677 -5.601292 0.894102 -6.495394
36.622551 -5.601396 0.904135 -6.505531
36.640424 -5.601408 0.905200 -6.506609
36.658297 -5.601294 0.897009 -6.498303
36.676171 -5.601047 0.881303 -6.482349
36.694044 -5.600674 0.862095 -6.462769
36.711918 -5.600303 0.845168 -6.445471
36.729791 -5.600119 0.836138 -6.436256
36.747664 -5.600206 0.837808 -6.438014
36.765538 -5.600466 0.849003 -6.449470
36.783411 -5.600745 0.865840 -6.466585
36.801284 -5.600976 0.883815 -6.484792
36.819158 -5.601141 0.899028 -6.500170
36.837031 -5.601211 0.908681 -6.509892
36.854905 -5.601183 0.911412 -6.512595
36.872778 -5.601074 0.907458 -6.508532
36.890651 -5.600937 0.898358 -6.499295
36.908525 -5.600855 0.886077 -6.486932
36.926398 -5.600845 0.872064 -6.472910
36.944272 -5.600854 0.857003 -6.457857
36.962145 -5.600834 0.841324 -6.442158
36.980018 -5.600760 0.825835 -6.426595
36.997892 -5.600655 0.812008 -6.412663
37.015765 -5.600579 0.801704 -6.402283
37.033638 -5.600633 0.796085 -6.396718
37.051512 -5.600809 0.794472 -6.395280
37.069385 -5.600951 0.794657 -6.395607
37.087259 -5.600904 0.794886 -6.395790
